id,text,keywords,funny,category
39,"A fin de relajarse tras su ardua labor de predicar y obrar milagros, Jesús decide tomarse un descanso a orillas del mar de Galilea. 
Durante una partida de golf con uno de los apóstoles, se encuentra con que ha de llevar a cabo un golpe complicado; Jesús lo hace mal y la pelota termina en el agua. Así que recurre a su truco habitual: camina sobre las aguas hasta donde está la pelota, se agacha y la recoge. Cuando Jesús intenta repetir el golpe, el apóstol le dice que es muy difícil: 
- Sólo alguien como Tiger Woods puede conseguirlo; 
Jesús le contesta 
- Soy el hijo de Dios, puedo hacer cualquier cosa que haga Tiger Woods!
y repite el golpe. La pelota acaba de nuevo en el agua, de manera que Jesús vuelve a caminar sobre su superficie para recuperarla. En ese momento, pasa por allí un grupo de turistas americanos, y uno de ellos, al observar lo que ocurre, se vuelve hacia el apóstol y le dice: 
- Dios mío, ¿quién es ese tipo? ¿Es que se cree Jesús o qué?
A lo que el apóstol le contesta: 
- No, se cree Tiger Woods!","golf,deportes,Jesús",3,tematicos
40,"Jaimito ¿cómo te ha salido el examen de Matemáticas?
- Pues más o menos como a los del Polo Norte
- ¿Cómo a los del Polo Norte? ¿Qué quieres decir?
- De cero para bajo mamá, de cero para bajo!","frio,matemáticas",1,familia
41,"En una discoteca, un chico pregunta a una chica:
- ¿Bailamos?
- Claro. ¿Pero quién saca a mi amiga?
- Ahhh, por eso no te preocupes. ¡SEGURIDAAAAD!","discotecas,ligar,bailes",2,otros
42,"Había una vez un rey que quería ir a pescar. Llamó al meteorólogo real y preguntó por el pronóstico del tiempo para las próximas horas. El meteorólogo le aseguró que no había ninguna posibilidad de lluvia en los próximos días.

Así que el rey fue a pescar con su esposa, la reina. En el camino se encontró con un granjero que iba en su burro. Al ver al rey, el granjero le dijo: 
- Su Majestad, debe regresar al palacio de inmediato porque en poco tiempo una gran cantidad de lluvia caerá en esta zona.

El rey hizo caso omiso confiando en su pronosticador profesional del tiempo. Así que siguió su camino.

Poco tiempo después una lluvia torrencial cayó del cielo. El rey y la reina quedaron totalmente empapados y su séquito se rió al verlos en ese estado tan vergonzoso.

Furioso, el rey regresó al palacio y dio la orden de despedir al profesional. Entonces convocó al granjero y le ofreció el prestigioso y muy bien pagado trabajo de pronosticador real.

Pero el granjero le contestó: 
- Su Majestad, no sé nada de previsiones, obtengo mi información de mi asno, si veo las orejas de mi asno caer, significa con certeza que lloverá.

Así que el rey contrató al burro. Y así comenzó la práctica de contratar burros para trabajar en el gobierno y ocupar las posiciones más altas e influyentes.","reyes,burros,campesinos",3,animales
43,"- Camarero, ponga una de calamares a la rumana, por favor.
- Será a la romana.
- Irina, cariño, dile al camarero este de dónde eres...",bares,3,otros
44,"Entra un ciego en un bar y le dice a la camarera de la barra.
- Quieres oír un chiste de rubias?
La camarera responde.
- Soy rubia, y el surfero que está a tu lado también, y los 3 militares que tienes detrás también, en la mesa del fondo hay un pareja de rubias y esos moteros que están fuera 2 son rubios también. Estás seguro de que quieres contar el chiste?
- Naaah paso, que lo tendría que explicar 9 veces.","rubias,bares",3,otros
45,"- Johnson de homicidios, ¿quién es?
- Agente Aguirre.
- ¿Qué ha pasado?
- Asesinato de un varón de 38 años. Su madre le ha dado 6 puñaladas por pisar lo fregao.
- Han detenido a la madre?
- No, todavía está mojado",madres,3,otros
46,"Esto es un capitán y un marinero.
- Capitán, ¿puedo desembarcar por la izquierda por favor?
-Se dice por babor.
- ¿Puedo desembarcar por la izquierda por babor?","marineros,capitán",3,otros
47,"- ¿Qué hace un boli Bic en el aire?
.... AeroBic.","bolis,gimnasios",1,otros
48,"- Caballero, ¿vino con el filete?
- No, he venido yo solo.",vino,1,profesiones
49,"- ¿En qué se parecen los árboles de navidad y las piernas de tu suegra?
- En que los dos tienen el “cableado por fuera”",navidad,2,familia
50,"Una bombilla en una fiesta le dice a otra:
- Tia! Te noto como apagada.
Y su amiga le contesta:
- No, es que estoy fundida.",bombillas,1,otros
51,"- Y para terminar la entrevista..., dígame cuáles son sus hobbies preferidos.
- Bilbo, Frodo y Samsagaz.","entrevistas,trabajos",1,otros
52,"- Ha cometido usted un crimen matemático.
- Pues, lo asumo.
- Pues, lo arresto.","matemáticos,matemáticas",1,otros
53,"- Ahí va Patxi, como cortas troncos! Donde has aprendido?
- Pues en el Sahara!
- Pero si allí no hay arboles!
- No, ahora ya no...",desierto,3,regionales
54,"- ¿Tienes wi-fi?
- Sí
- ¿Y cuál es la clave?
- Tener dinero, llamar a una operadora y contratarlo, no tiene más...",wifi,1,otros
55,"- ¿Por qué los patos no tienen amigos?
- Porque son muy antipáticos",patos,1,animales
56,"En la pescadería, comprando para la cena de navidad: 
- Muy buenas, hay gambas?
- Muy buenas.
- Muy buenas, hay gambas? 
- Muy buenas
- ....","pesca,pescaderia,gambas",1,otros
57,"- ¿Sabes a qué actor le dan siempre el pésame?
- A Johnny DEP",actores,1,otros
58,"Esto es un hombre mayor que va a su médico, pero va acompañado de dos preciosas mujeres morenas, de cuerpos voluptuosos y sonrisas radiantes. El doctor, sorprendido le pregunta: 
- Pero Ramiro ¡¿Cómo está usted?!
- Bien, doctor, he seguido sus indicaciones y mano de santo oiga!
- Le dije que necesitaba dos muletas ¡no dos mulatas!","abuelos,viejos",3,profesiones
59,"Después de medio siglo de matrimonio, él se muere, y al poco tiempo después, ella también y se va al cielo.
En el cielo, ella encuentra al marido y corre hasta donde él y le dice:
- ¡Amor mio! ¡Que bueno encontrarte!
Y él responde:
- ¡No me vengas con esas! El contrato fue clarito: ¡Hasta que la muerte nos separe!","muertos,cielo",3,familia
60,"Dos cazadores se encuentran persiguiendo a una presa por el bosque cuando uno de ellos cae al suelo. El hombre parece haberse quedado sin aliento y tiene los ojos vidriosos. Su compañero agarra el teléfono, llama al número de emergencias y dice jadeando:
- ¡Mi amigo está muerto! ¿Qué puedo hacer?
La operadora le dice:
- Tranquilícese, puedo ayudarlo. Primero asegurémonos de que efectivamente está muerto.
Se crea un silencio y a continuación se escucha un disparo. Al volver al teléfono, el amigo dice:
- De acuerdo, y ahora ¿qué?",cazadores,3,animales
61,"- ¿Cuál es el animal más antiguo? 
- La vaca
- ¿Por qué? 
- Porqué esta en blanco y negro.",vacas,1,animales
62,"-Papa, ¿por qué te casaste con mama?
- Tu tampoco te lo explicas, ¿verdad hijo?",padres,1,familia
63,"Tía Rosario, ¿de donde vienes?
- Del salón de belleza.
- Estaba cerrado, ¿verdad?","tías,peluquería",1,otros
64,"Aun no había comenzado la misa. Algunos conversaban bajito, otros rezaban. De repente se aparece el Diablo frente a la congregación.
Todos salen disparados en estado de pánico. Todos... menos un viejecito que ni se movió. El Diablo le clavo una mirada fulminante y le dijo:
- ¿Y tu? ¿No me tienes miedo?
- ¡Que va! ¡Estuve casado con tu hermana cuarenta años!","ancianos,viejos",2,familia
65,"Llega Tomás a un hotel y pide habitación.
El encargado le dice que sólo tiene una cama en un cuarto compartido, la cual nadie quiere porque el otro huésped ronca muy fuerte.
Tomás le responde que no hay problema y decide compartir la habitación.
A la mañana siguiente el encargado le pregunta si durmió bien.
- Perfectamente -responde Tomás.- ¡Muchas gracias!
- ¿Y el señor de los ronquidos?
- Mire, apenas entré en la habitación, le di un beso en la mejilla y una palmadita en la nalga. ¡¡¡Y se pasó toda la noche con los ojos abiertos y con el culo pegado a la pared!!!","hoteles,ronquidos,habitaciones,hombres",3,otros
66,"Los feligreses en la iglesia y el padre comienza a hablar: 
- Hermanos hoy vamos a hablar de las mentiras. ¿cuantos de ustedes recuerdan que dice el capitulo 32 de San Lucas? 
- Y todos levantaron las manos.
- Precisamente a eso me refería, el evangelio de San Lucas solo tiene 24 capítulos.","curas,iglesias",1,tematicos
67,"- María, tú me estás engañando con el filósofo del pueblo.
- Eso no son más que falacias Pedro, simples falacias.",filosofico,1,sexo
68,"- Disculpe ¿me puede decir la contraseña del Wifi de su Bar?
- Tómate una caña por lo menos, hombre!
- Aja... ¿Todo junto?","wifi,bares",1,otros
69,"- Mi mujer me dijo que ya no podía más, qie necesitaba más espacio.
- ¿Y qué hiciste?
- La regalé un disco duro de 2Tb.",informática,1,familia
70,"- No sé si conseguiré enamorar a esa chica...
- ¿Tienes vacas y ovejas?
- Sí.
- Pues ya tienes mucho ganado.","ligar,vacas,ovejas",1,animales
71,"- ¿Este vino, de dónde es?
- De Islandia, creo.
- ¿No pone la ciudad en el envase?
- Tetravrik.",vinos,1,otros
72,"Dos leperos van al médico y ven un cartel: “CONSULTA DE 4 A 7”. Así que uno de ellos le dice al otro:
-Oye, que solo somos dos, vamos a buscar otra pareja de enfermos.",enfermo,1,regionales
73,"Estaba un catalán en su casa y le da un ataque cardíaco, avisan a la ambulancia, lo montan en la camilla, lo suben en la ambulancia y de camino el médico le dice a su ayudante:
-¡Rápido, póngale la mascarilla!
Y el catalán:
-¡No, por favor, póngame la más baratilla!",ambulancia,3,regionales
74,"Se abre el telón y se ve un tetrabrik de Don Simón.
¿Cómo se llama la película?
-”Es tinto básico”.","vino,película",1,otros
75,"Dos vascos:
-Oye, Patxi, ¿en el cielo habrá frontón?
-Pues yo creo que sí, Iñaki, porque, si allí todo es perfecto, pues habrá frontón.
-Oye, pues el primero que se muera que se lo diga al otro.
-De acuerdo.
Al cabo de unos años, Patxi se muere y, al día siguiente, Iñaki oye una voz de ultratumba:
-Iñaaaaaki, Iñaaaaki, Iñaaaaaki, soy Patxi.
-¿Qué quieres?
-Que te tengo que dar dos noticias, una buena y otra mala.
-¿La buena?
-Que yo tenía razón, que aquí hay un frontón fantástico, de más de 60 metros de fondo y unas instalaciones alucinantes.
-¿Y la noticia mala?
-Que juegas mañana a las 11:00","deportes,frontón,deportistas",3,regionales
76,"Esto es un hombre que entra a un restaurante y le pide a un camarero el menú del día. El camarero le entrega la hoja, en donde se puede ver que es un menú algo caro (45€). Al leer aquello, le pregunta al camarero:
-¿Oiga, pero aquí no hacen descuento a los colegas?
- ¿Ah! Pero usted también es camarero?
-No, soy un ladrón.",restaurantes,1,profesiones
77,"- Mi novia me ha dejado una nota en la mesa que ponía:
""Me voy, no hay química""
- No la entiendo, ¿si le han anulado la clase para qué va?","parejas,novios,química",1,otros
78,"Dos mujeres, una le dice a la otra:
- Mi marido es marinero y se pasa 11 meses en el mar y uno en casa.
- Vaya... ¿Se te debe hacer eterno?
- No te creas porqué se pasa medio mes en casa de su madre.",marineros,3,otros
79,"Un marinero de un barco que se hunde grita desesperadamente:
- ¿Hay alguien a bordo que sepa rezar con devoción?
- Sí, yo, responde un pasajero.
A lo que el marinero responde:
- ¡Perfecto, porque nos falta un chaleco salvavidas!","marineros,barcos",3,tematicos
80,"En Bilbao, al salir de un examen de Análisis Matemático:
- Oye Patxi, ¿qué te ha dado el segundo límite, pues?.
- Más infinito
- ¿Sólo?","matemáticas,matemáticos",1,regionales
81,"Estan 2 cadaveres en el cementerio y uno empieza a reírse y dice:
-Jajajajaaja, me vivo de la risa!","muertos,cementerios",1,otros
82,"Había un campo tan verde, tan verde verde, que las ovejas menores de dieciocho años no podían entrar.",ovejas,1,animales
83,"- Amor mío, creo que podríamos tener otro hijo.
- Me parece bien, a mi tampoco me gusta el que tenemos ahora...",hijos,1,familia
84,"- ¡Cariño, estás obsesionado con el fútbol y me haces falta!
- Queeeeeé??? Faltaaa? Falta? si ni siquiera te he tocado, vamos.... como puedes decir falta...","deportes,futbol,parejas",2,familia
85,"Un hombre va caminando por la calle, ve una tienda de ropa, entra y comienza a pelearse con el maniquí.
- Oiga, que hace pegando a este maniquí
- ¡Es que no soporto a las personas falsas!",tiendas,1,otros
86,"- Ya no me escuchas cuando te hablo Antonio
- Lo que quieras cariño, una tortilla o lo que te venga bien, tampoco tengo mucha hambre.","parejas,cenas",2,familia
87,"- Papá, ¿qué significa patriota?
- ¿Has visto todos esos catalanes que piden la independencia?
- Sí
- Po tráeme una birra. Y pa-ti-otra",independencia,1,regionales
88,"- Nos gusta mucho su currículum, señor Juan, pero no especifica su teléfono.
- No.
- ¿Y cómo le llamamos?
 - Juan.",curriculum,1,otros
89,"- Una pregunta, ¿los vagos vamos al infierno? ¿O vienen a recogernos?",vagos,1,otros
90,"Un ladrón entra a un banco, apunta con su arma al cajero y exige que le de todo el dinero.
Una vez con el botín, se da la vuelta hacia uno de los clientes y le pregunta:
- ¿Usted me vio robar?
- Si, pero de refilón
El ladrón le pega un tiro en la cabeza.
Se dirije a otra persona que había al lado:
- ¿Y usted,me vio robar?
- No, la verdad es que apenas vi nada...
El ladrón le pega dos tiros en la cabeza.
Se da vuelta hacia una familia que estaba parada a su lado y pregunta:
- ¿Y usted, me vio robar?
El hombre le contesta:
- Yo no vi nada... pero mi suegra si, la vi grabándote con el móvil.","armas,bancos",3,familia
91,"- ¿Que le dice un bosque argentino a otro?
- ¿Y vos qué?","bosques,argentinos",2,regionales
92,"Una rata que se echa un murciélago de novio y otra rata amiga suya le dice:
- Oye vaya novio feo te has echado no?
- Si, pero es piloto","ratas,murcielagos",2,animales
93,"- Doctor, todo el mundo cree que soy un mentiroso
- Sinceramente, eso no puede ser...",mentirosos,3,otros
94,"Una vecina a otra:
- Uo! Es increíble el parecido que tiene tu hijo con su padre!
- Sí, ya... pero habla más bajo que mi marido está en casa!!","padres,vecinas",2,sexo
95,"En la Farmacia:
- ¿Tienen pastillas para el cansancio?
- Están agotadas","farmacias,farmaceuticos",1,otros
96,"En la escena del crimen:
- Hola! John, soy de narcóticos.
- Javier, yo soy más de cubatas de toda la vida.","policías,españoles",1,otros
97,"- Papá, tengo una buena y una mala noticia...
- Empieza por la buena, dame una alegría anda...
- ¡Los airbags de tu coche funcionan muy bien!","coches,padres",1,otros
98,"- ¿En qué trabajas?
- Soy director general de una empresa de importación y exportación.
- Qué puesto más importante
- ¡Y exportante!",trabajos,3,otros
99,"- ¿Cómo se despiden los químicos?
- Ácido un placer","científicos,química",1,otros
100,"Si un gallego te guiña un ojo, ¿es un galleguiño?",gallegos,1,otros
101,"Dos pueblerinos hablando:
- Tengo un problema, y es que a mi vaca no le gustan los toros.
- ¿Has probado a llevarla al fútbol?","toros,vacas,futbol",2,animales
102,"Un hombre le pregunta al dueño del hotel:
- No lo entiendo ¿por qué en verano cobras menos por noche que en invierno?
- Claro es muy sencillo, ¿no ves que en el verano las noches son más cortas?",hoteles,1,otros
103,"- Camarero, una ración de setas!
- Serán 15€, por favor.
- Pero... ¿me las va a cobrar antes de comerlas?
- Es que con las setas... nunca se sabe!","setas,dinero",1,profesiones
104,"Una pareja de novios recién casados comentan:
- Oye, una pregunta amada mía, que se me acaba de ocurrir sin motivo... 
- Dime mi amor
- Si algún yo me muriera ¿Llorarías?
- Pues claro!. No ves que yo lloro por cualquier tontada...","muertos,casados,novios",2,familia
105,"Inscripción en la lápida de un hipocondríaco: 
""Ya te decía yo que algo me pasaba""","lápidas,funerarias,enfermo",1,otros
106,"En clase dos niños:
- Mi bolígrafo escribe en diez colores.
- Bah! Eso no es nada! El mío los escribe todos!
- Anda ya, pero si el tuyo sólo tiene tinta azul..
-Ya, pero es capaz de escribirlos todos te lo voy a demostrar
..Y escribe en una libreta : rojo, rosa, verde, amarillo, violeta, azul, granate, negro...","colegios,clases",1,otros
107,"Un hombre al lado de un río que quiere atravesar, le pregunta a otro hombre que estaba al otro lado del río:
- ¿Es muy profundo este río? ¿Se puede pasar sin que me cubra?
- Sí, claro que sí, sin problema. Es un río muy seguro y tranquilo.
En esto que el hombre se mete todo dispuesto en el río, y de repente se le empieza a llevar la corriente río abajo. Cruza como puede nadando a la desesperada y sale del río, se dirige enfadadísimo hacia el hombre:
- Pero tú, desgraciado!! Cómo me dijiste que el agua no cubría y que se podía cruzar sin ningún problema el río!!??
- Ah... pues... hace unos minutos lo cruzó un patito y el agua no le cubría nada!","ríos,patos",1,animales
108,"- ¿Por qué nunca llueve en URUGUAY?
- Porque está debajo de PARAGUAY.",paraguayos,1,otros
109,"- Camarero, hay una mosca en la sopa!
- Tranquilo, que la araña que hay en el pan se la comerá pronto...","moscas,arañas",1,animales
110,"En un restaurante:
– Camarero, camarero, ¿tiene usted ancas de rana?
– Sí, señor.
– Bueno, pues brinque hasta la cocina y tráigame mi filete, por favor.",ranas,1,animales
111,"En la recepción de un hotel:
- ¿Nombre?
– Bond, James Bond.
– Bien, Bond James Bond
– No. James y Bond a parte
– ¿James Bonaparte?
– James Bond, y ya
– ¿James Bonilla?
– Apunte 007…
- ... Lo siento... esa habitación no está disponible
- ...",hoteles,3,otros
112,"- ¿Cómo se dice pelo sucio en chino?
Chin cham pu.",chinos,1,otros
113,"- Papa, Papa! Ayer salí con mi nuevo novio mecánico y me dijo algo que no entiendo. Me dijo que tengo un lindo chasis y dos bellos amortiguadores, aparte de dos fabulosos paragolpes.
El padre le contesta:
- Dile a tu novio, que si abre el capo y mide el aceite del motor,le rompo el tubo de escape!",mecánicos,3,sexo
114,"- Tu rezas antes de comer.
- No señor. Mi madre es buena cocinera.",madres,3,otros
115,"Este es un tío que llega a una farmacia y pide algo para la diarrea. El farmacéutico de guardia, que hacía poco que ha empezado a trabajar, se confunde y le da un laxante. 
El hombre sale de la farmacia y se toma el laxante. Inmediatamente empieza a notar los efectos y echa a correr como un descosido hacia su casa. A eso de 200 metros le para un peatón y le pregunta:
- Perdón, ¿Sabe usted donde hay una farmacia?
- Si. Siga la linea amarilla!!!",farmaceuticos,3,otros
116,"- A ver Jaimito, si tengo cuarenta manzanas en una mano y en la otra tengo cincuenta, ¿qué tengo en total?
- Las manos muy grandes.",manzanas,1,familia
117,"- ¿Tu sabías que las cajas negras de los aviones en realidad son naranjas?
- Que me dices! ¿no son cajas?","aviones,naranjas",1,otros
118,"- Mi novia me trata como a un filetito de carne.
- Y cual es el problema ?
- Que es vegetariana.","vegetarianos,parejas",1,otros
119,"Era un bebe tan feo tan feo tan feo que cuando nació el médico dijo:
-He hecho lo que he podido pero al final ha conseguido salir.","bebes,partos,doctores,hospitales,padres",2,otros
120,"Había una vez dos bellísimas doncellas paseando por los alrededores de su castillo. De pronto, una de ellas escuchó una tímida voz que gritaba:
- ¡Ehhhh! ¡Mirad aquí abajo!
Las doncellas miraron y vieron un pequeño sapo a la orilla del foso.
- ¡Hola! -dijo el sapo-. En realidad soy un cantante, pero un genio malvado me ha convertido en un sapo. Si una de vosotras me besa, volveré a ser cantante y viviremos felices para siempre.
Entonces, la más bella de las dos doncellas lo cogió con la mano y se lo metió en el bolsillo.
- ¿Cómo es eso? -le pregunta la otra doncella-. ¿No vas a besarlo?
- ¿Estás de broma? -responde la bella-. ¡Puedes ganar mucho más dinero con un sapo que habla que con un cantante!","cuentos,sapos",3,animales
121,"Se encuentran por la calle un trompetista con un amigo:
- Trompetista: ""Hola José, ¿escuchaste mi último recital?""
- José: ""¡Eso espero!"".","trompetista,músicos",1,familia
122,"- ¿En que consiste la acción de besar?
- Es cuando el sujeto sujeta a la sujeta con su jeta.",besos,1,otros
123,"- ¿Cómo se puede identificar a uno de Lepe en un submarino?
- Es el que lleva el paracaídas puesto.","submarinos,paracaidas",1,regionales
124,"Entra un cartero en una casa, y encuentra un cartel que dice, ""Cuidado con el loro"".
El cartero hace caso omiso y continúa caminando, y encuentra otro cartel que dice, ""No moleste al loro"".
El cartero un poco asustado abre la puerta, y ve un lorito pequeño y viejo, con un cartel que dice, ""Loro peligroso"".
El cartero riéndose toca la jaula para saludar al lorito, el loro mira hacia abajo y dice a su perro:
- ¡Dogo, ataca!","loros,carteros,perros",3,animales
125,"Dos gallinas se cruzan por el corral y una le dice a la otra: 
- ¿Qué tal? ¿Cómo va eso? 
- Pues no muy bien, la verdad... 
- ¿Y eso, qué te pasa? 
- No sé, creo que estoy incubando algo.",gallinas,1,animales
126,"Había un tipo gritando en la playa como un loco:
- ¡Una ballena, una BALLENA!
Se acercan todos los bañistas corriendo. Después vienen los policías y preguntan:
- ¿Dónde está la ballena?
El hombre responde:
- No, no señor, es que se me han caído dos botellas de cerveza al mar y una VA LLENA.","ballenas,playa",1,animales
127,"- ¿Que le dice un pato a otro pato que estaban compitiendo en una carrera?
- Hemos empatado",patos,1,animales
128,"¿Qué le dice una silla rica a una silla pobre?
Pobrecilla...","sillas,ricos,pobres",1,otros
129,"Pasa un taxista a 140 km/h camino del aeropuerto y le dice un policía a otro:
- ¿Ese tipo no es al que le quitamos el carné la semana pasada?
- Ese es!! vamos a por el.
Paran al taxista y le preguntan:
- ¿Y el carné?
A lo que el taxista les responde 
- ¡¡No me digan que me lo han perdido!!","taxistas,policías",1,otros
130,"- ¡Alto! Se ha saltado un semáforo en rojo. Tengo que ponerle una multa. Dígame su nombre.
- Josetxu Aristeguicorteneindiaguirre de Urrutxomengasalaberría y Mendiagorrialbizu de Gurruchagagoitiaga.
- Bueno, rojo.... lo que se dice rojo.. no era: era ámbar intenso, más bien. Siga, por favor...","multas,policías,guardias",3,regionales
131,"Un pasajero le toca el hombro al taxista para hacerle una pregunta. El taxista grita, pierde el control del coche, casi choca con un camión, se sube a la acera y se mete en un escaparate haciendo pedazos los vidrios.

Por un momento no se oye nada en el taxi, hasta que el taxista dice:

– Mire amigo, jamás haga eso otra vez! Casi me mata del susto!
El pasajero le pide disculpas y le dice:
– No pensé que se fuer a a asustar tanto si le tocaba el hombro
El taxista le dice:
– Lo que pasa es que es mi primer día de trabajo como taxista
– ¿Y qué hacía antes?
– Fui chófer de carroza funeraria durante 25 años","taxis,taxistas,coches",3,otros
132,"- Soy una persona seria, responsable, emprendedora, altruista, trabajo en equipo...
- Ha dibujado usted una casita con un árbol en el currículum...
- También pinto","entrevistas,trabajos,jefes",1,otros
133,"Un médico que se encuentra a otro en el cementerio y le pregunta: 
- ¿Qué haces tu por aquí, no deberías estar trabajando a estas horas? 
- Estoy trabajando lo que pasa es que hoy hacemos la evaluación de como ha ido la semana.",cementerios,1,otros
134,"Un niño llega a casa con un examen de inglés:
- ¿Otro suspenso en inglés? tienes que esforzarte más - le dice su madre.
- Vale mamá… pero ahora tengo hambre.
- A ver, pídemelo en inglés.
- I am bre.","inglés,madres",1,otros
